Order_ID,Order_Date,Category,Product,Sales,Profit,Quantity,Customer_Segment,Region
1,2023-01-01,Books,Novel,34255,2094,9,Corporate,South
2,2023-01-02,Sports,Novel,40890,7418,1,Corporate,East
3,2023-01-03,Home,Novel,24211,3566,1,Consumer,West
4,2023-01-04,Sports,Novel,26622,9300,4,Home Office,South
5,2023-01-05,Sports,Bat,9660,9218,7,Corporate,North
6,2023-01-06,Clothing,Bat,27713,4627,1,Home Office,North
7,2023-01-07,Home,T-Shirt,39920,777,9,Consumer,South
8,2023-01-08,Home,Laptop,7921,7518,4,Corporate,South
9,2023-01-09,Home,Novel,21900,392,3,Corporate,South
10,2023-01-10,Sports,T-Shirt,34037,1497,1,Consumer,East
11,2023-01-11,Books,Laptop,18227,6631,4,Corporate,North
12,2023-01-12,Home,Sofa,47382,6367,9,Consumer,East
13,2023-01-13,Sports,Bat,4858,576,6,Corporate,East
14,2023-01-14,Clothing,Laptop,28982,6798,6,Consumer,West
15,2023-01-15,Books,Sofa,32617,455,1,Corporate,North
16,2023-01-16,Clothing,Laptop,23664,8036,2,Home Office,North
17,2023-01-17,Books,Bat,32410,9815,6,Home Office,South
18,2023-01-18,Sports,Bat,32996,3790,2,Home Office,South
19,2023-01-19,Electronics,T-Shirt,44811,1896,3,Corporate,West
20,2023-01-20,Books,Novel,29871,1528,4,Corporate,East
21,2023-01-21,Clothing,Laptop,38967,821,5,Home Office,South
22,2023-01-22,Sports,Laptop,18125,5575,9,Home Office,South
23,2023-01-23,Books,Sofa,34393,8820,4,Consumer,North
24,2023-01-24,Electronics,Bat,11293,243,9,Consumer,North
25,2023-01-25,Electronics,Laptop,31507,2057,3,Consumer,South
26,2023-01-26,Home,Bat,26266,1235,8,Home Office,North
27,2023-01-27,Home,Laptop,40032,2444,1,Home Office,West
28,2023-01-28,Clothing,T-Shirt,12823,9352,9,Home Office,South
29,2023-01-29,Books,Novel,46299,4055,9,Consumer,North
30,2023-01-30,Books,Laptop,47320,7479,2,Corporate,West
31,2023-01-31,Home,Bat,45908,2311,4,Home Office,North
32,2023-02-01,Books,T-Shirt,8343,3786,8,Corporate,North
33,2023-02-02,Books,Laptop,14710,6766,7,Corporate,North
34,2023-02-03,Electronics,Sofa,16956,4925,1,Corporate,South
35,2023-02-04,Home,Novel,31867,8971,5,Consumer,East
36,2023-02-05,Sports,Laptop,10606,4428,7,Corporate,North
37,2023-02-06,Home,T-Shirt,38457,7865,4,Home Office,West
38,2023-02-07,Sports,Sofa,2972,3501,1,Consumer,South
39,2023-02-08,Electronics,T-Shirt,7204,7666,9,Home Office,South
40,2023-02-09,Clothing,T-Shirt,4213,9886,5,Home Office,West
41,2023-02-10,Books,Sofa,5551,2850,2,Consumer,North
42,2023-02-11,Electronics,T-Shirt,11256,8383,8,Home Office,East
43,2023-02-12,Books,Sofa,2975,5460,2,Home Office,North
44,2023-02-13,Clothing,Laptop,36878,1505,3,Consumer,West
45,2023-02-14,Clothing,Sofa,4755,6942,1,Home Office,South
46,2023-02-15,Electronics,Sofa,14984,5858,2,Corporate,East
47,2023-02-16,Clothing,Novel,35003,6846,7,Home Office,South
48,2023-02-17,Sports,Sofa,8758,4846,2,Corporate,West
49,2023-02-18,Clothing,Sofa,41247,5143,6,Home Office,North
